Episode #,State,Action,Reward,Next State,Terminated
1,[-0.5203065   0.00309457],1,-1.0,[-0.51723665  0.00306987],0
1,[-0.51723665  0.00306987],1,-1.0,[-0.5142145   0.00302216],0
1,[-0.5142145   0.00302216],1,-1.0,[-0.5112627   0.00295179],0
1,[-0.5112627   0.00295179],1,-1.0,[-0.5084034   0.00285929],0
1,[-0.5084034   0.00285929],1,-1.0,[-0.5056581   0.00274536],0
1,[-0.5056581   0.00274536],1,-1.0,[-0.50304717  0.00261087],0
1,[-0.50304717  0.00261087],1,-1.0,[-0.5005904   0.00245683],0
1,[-0.5005904   0.00245683],1,-1.0,[-0.49830595  0.00228441],0
1,[-0.49830595  0.00228441],1,-1.0,[-0.49621105  0.00209489],0
1,[-0.49621105  0.00209489],1,-1.0,[-0.49432135  0.00188972],0
1,[-0.49432135  0.00188972],1,-1.0,[-0.49265093  0.00167042],0
1,[-0.49265093  0.00167042],1,-1.0,[-0.49121228  0.00143864],0
1,[-0.49121228  0.00143864],1,-1.0,[-0.49001616  0.00119613],0
1,[-0.49001616  0.00119613],1,-1.0,[-0.48907146  0.00094468],0
1,[-0.48907146  0.00094468],1,-1.0,[-0.4883853   0.00068619],0
1,[-0.4883853   0.00068619],1,-1.0,[-4.8796269e-01  4.2257935e-04],0
1,[-4.8796269e-01  4.2257935e-04],1,-1.0,[-4.8780689e-01  1.5581764e-04],0
1,[-4.8780689e-01  1.5581764e-04],1,-1.0,[-4.87919e-01 -1.12106e-04],0
1,[-4.87919e-01 -1.12106e-04],1,-1.0,[-4.8829818e-01 -3.7919369e-04],0
1,[-4.8829818e-01 -3.7919369e-04],1,-1.0,[-0.48894164 -0.00064345],0
1,[-0.48894164 -0.00064345],1,-1.0,[-0.48984456 -0.00090291],0
1,[-0.48984456 -0.00090291],1,-1.0,[-0.49100018 -0.00115564],0
1,[-0.49100018 -0.00115564],1,-1.0,[-0.49239993 -0.00139974],0
1,[-0.49239993 -0.00139974],1,-1.0,[-0.4940333  -0.00163339],0
1,[-0.4940333  -0.00163339],1,-1.0,[-0.49588814 -0.00185484],0
1,[-0.49588814 -0.00185484],1,-1.0,[-0.49795058 -0.00206243],0
1,[-0.49795058 -0.00206243],1,-1.0,[-0.50020516 -0.0022546 ],0
1,[-0.50020516 -0.0022546 ],1,-1.0,[-0.5026351  -0.00242991],0
1,[-0.5026351  -0.00242991],1,-1.0,[-0.50522214 -0.00258703],0
1,[-0.50522214 -0.00258703],1,-1.0,[-0.5079469  -0.00272479],0
1,[-0.5079469  -0.00272479],1,-1.0,[-0.51078904 -0.00284213],0
1,[-0.51078904 -0.00284213],1,-1.0,[-0.51372725 -0.00293818],0
1,[-0.51372725 -0.00293818],1,-1.0,[-0.5167394  -0.00301221],0
1,[-0.5167394  -0.00301221],1,-1.0,[-0.5198031  -0.00306365],0
1,[-0.5198031  -0.00306365],1,-1.0,[-0.5228952  -0.00309212],0
1,[-0.5228952  -0.00309212],1,-1.0,[-0.5259926  -0.00309739],0
1,[-0.5259926  -0.00309739],1,-1.0,[-0.52907205 -0.00307944],0
1,[-0.52907205 -0.00307944],1,-1.0,[-0.53211045 -0.00303839],0
1,[-0.53211045 -0.00303839],1,-1.0,[-0.53508496 -0.00297456],0
1,[-0.53508496 -0.00297456],1,-1.0,[-0.5379734  -0.00288843],0
1,[-0.5379734  -0.00288843],1,-1.0,[-0.5407541  -0.00278066],0
1,[-0.5407541  -0.00278066],1,-1.0,[-0.5434061  -0.00265205],0
1,[-0.5434061  -0.00265205],1,-1.0,[-0.5459097  -0.00250358],0
1,[-0.5459097  -0.00250358],1,-1.0,[-0.5482461  -0.00233637],0
1,[-0.5482461  -0.00233637],1,-1.0,[-0.55039775 -0.00215169],0
1,[-0.55039775 -0.00215169],1,-1.0,[-0.5523487  -0.00195091],0
1,[-0.5523487  -0.00195091],1,-1.0,[-0.55408424 -0.00173555],0
1,[-0.55408424 -0.00173555],1,-1.0,[-0.55559146 -0.00150723],0
1,[-0.55559146 -0.00150723],1,-1.0,[-0.55685914 -0.00126765],0
1,[-0.55685914 -0.00126765],1,-1.0,[-0.5578777  -0.00101862],0
1,[-0.5578777  -0.00101862],1,-1.0,[-0.5586397  -0.00076198],0
1,[-0.5586397  -0.00076198],1,-1.0,[-5.591394e-01 -4.996532e-04],0
1,[-5.591394e-01 -4.996532e-04],1,-1.0,[-5.5937296e-01 -2.3360357e-04],0
1,[-5.5937296e-01 -2.3360357e-04],1,-1.0,[-5.5933881e-01  3.4188106e-05],0
1,[-5.5933881e-01  3.4188106e-05],1,-1.0,[-5.5903703e-01  3.0172482e-04],0
1,[-5.5903703e-01  3.0172482e-04],1,-1.0,[-0.5584701   0.00056701],0
1,[-0.5584701   0.00056701],1,-1.0,[-0.557642    0.00082807],0
1,[-0.557642    0.00082807],1,-1.0,[-0.556559    0.00108295],0
1,[-0.556559    0.00108295],1,-1.0,[-0.55522925  0.00132975],0
1,[-0.55522925  0.00132975],1,-1.0,[-0.55366266  0.00156662],0
1,[-0.55366266  0.00156662],1,-1.0,[-0.5518709  0.0017918],0
1,[-0.5518709  0.0017918],1,-1.0,[-0.5498673   0.00200358],0
1,[-0.5498673   0.00200358],1,-1.0,[-0.5476669   0.00220039],0
1,[-0.5476669   0.00220039],1,-1.0,[-0.5452861   0.00238075],0
1,[-0.5452861   0.00238075],1,-1.0,[-0.54274285  0.00254329],0
1,[-0.54274285  0.00254329],1,-1.0,[-0.54005605  0.00268679],0
1,[-0.54005605  0.00268679],1,-1.0,[-0.53724587  0.00281017],0
1,[-0.53724587  0.00281017],1,-1.0,[-0.5343334   0.00291249],0
1,[-0.5343334   0.00291249],1,-1.0,[-0.5313404   0.00299299],0
1,[-0.5313404   0.00299299],1,-1.0,[-0.5282894   0.00305105],0
1,[-0.5282894   0.00305105],1,-1.0,[-0.52520317  0.00308622],0
1,[-0.52520317  0.00308622],1,-1.0,[-0.5221049   0.00309826],0
1,[-0.5221049   0.00309826],1,-1.0,[-0.5190178   0.00308705],0
1,[-0.5190178   0.00308705],1,-1.0,[-0.51596516  0.0030527 ],0
1,[-0.51596516  0.0030527 ],1,-1.0,[-0.5129697   0.00299545],0
1,[-0.5129697   0.00299545],1,-1.0,[-0.51005393  0.00291574],0
1,[-0.51005393  0.00291574],1,-1.0,[-0.50723976  0.00281419],0
1,[-0.50723976  0.00281419],1,-1.0,[-0.50454825  0.00269154],0
1,[-0.50454825  0.00269154],1,-1.0,[-0.5019995   0.00254874],0
1,[-0.5019995   0.00254874],1,-1.0,[-0.49961263  0.00238686],0
1,[-0.49961263  0.00238686],1,-1.0,[-0.4974055   0.00220712],0
1,[-0.4974055   0.00220712],1,-1.0,[-0.49539462  0.00201087],0
1,[-0.49539462  0.00201087],1,-1.0,[-0.49359503  0.00179959],0
1,[-0.49359503  0.00179959],1,-1.0,[-0.49202016  0.00157487],0
1,[-0.49202016  0.00157487],1,-1.0,[-0.4906818   0.00133838],0
1,[-0.4906818   0.00133838],1,-1.0,[-0.48958987  0.00109191],0
1,[-0.48958987  0.00109191],1,-1.0,[-0.4887526   0.00083728],0
1,[-0.4887526   0.00083728],1,-1.0,[-0.4881762   0.00057641],0
1,[-0.4881762   0.00057641],1,-1.0,[-4.8786494e-01  3.1124207e-04],0
1,[-4.8786494e-01  3.1124207e-04],1,-1.0,[-4.8782119e-01  4.3751363e-05],0
1,[-4.8782119e-01  4.3751363e-05],1,-1.0,[-4.8804525e-01 -2.2406560e-04],0
1,[-4.8804525e-01 -2.2406560e-04],1,-1.0,[-0.48853546 -0.00049021],0
1,[-0.48853546 -0.00049021],1,-1.0,[-0.48928818 -0.0007527 ],0
1,[-0.48928818 -0.0007527 ],1,-1.0,[-0.49029773 -0.00100958],0
1,[-0.49029773 -0.00100958],1,-1.0,[-0.49155667 -0.00125892],0
1,[-0.49155667 -0.00125892],1,-1.0,[-0.49305552 -0.00149887],0
1,[-0.49305552 -0.00149887],1,-1.0,[-0.49478316 -0.00172762],0
1,[-0.49478316 -0.00172762],1,-1.0,[-0.49672663 -0.00194347],0
1,[-0.49672663 -0.00194347],1,-1.0,[-0.49887142 -0.00214479],0
1,[-0.49887142 -0.00214479],1,-1.0,[-0.5012015  -0.00233008],0
1,[-0.5012015  -0.00233008],1,-1.0,[-0.5036994  -0.00249793],0
1,[-0.5036994  -0.00249793],1,-1.0,[-0.5063465  -0.00264709],0
1,[-0.5063465  -0.00264709],1,-1.0,[-0.5091229  -0.00277642],0
1,[-0.5091229  -0.00277642],1,-1.0,[-0.5120079  -0.00288495],0
1,[-0.5120079  -0.00288495],1,-1.0,[-0.5149797  -0.00297187],0
1,[-0.5149797  -0.00297187],1,-1.0,[-0.5180162 -0.0030365],0
1,[-0.5180162 -0.0030365],1,-1.0,[-0.5210946  -0.00307837],0
1,[-0.5210946  -0.00307837],1,-1.0,[-0.5241918  -0.00309715],0
1,[-0.5241918  -0.00309715],1,-1.0,[-0.5272845 -0.0030927],0
1,[-0.5272845 -0.0030927],1,-1.0,[-0.53034955 -0.00306506],0
1,[-0.53034955 -0.00306506],1,-1.0,[-0.533364   -0.00301444],0
1,[-0.533364   -0.00301444],1,-1.0,[-0.5363052  -0.00294121],0
1,[-0.5363052  -0.00294121],1,-1.0,[-0.53915113 -0.00284593],0
1,[-0.53915113 -0.00284593],1,-1.0,[-0.5418804  -0.00272933],0
1,[-0.5418804  -0.00272933],1,-1.0,[-0.54447275 -0.00259229],0
1,[-0.54447275 -0.00259229],1,-1.0,[-0.54690856 -0.00243584],0
1,[-0.54690856 -0.00243584],1,-1.0,[-0.5491697  -0.00226115],0
1,[-0.5491697  -0.00226115],1,-1.0,[-0.5512393  -0.00206956],0
1,[-0.5512393  -0.00206956],1,-1.0,[-0.5531018  -0.00186249],0
1,[-0.5531018  -0.00186249],1,-1.0,[-0.5547433  -0.00164151],0
1,[-0.5547433  -0.00164151],1,-1.0,[-0.55615157 -0.00140827],0
1,[-0.55615157 -0.00140827],1,-1.0,[-0.55731606 -0.00116451],0
1,[-0.55731606 -0.00116451],1,-1.0,[-0.55822814 -0.00091206],0
1,[-0.55822814 -0.00091206],1,-1.0,[-0.5588809  -0.00065281],0
1,[-0.5588809  -0.00065281],1,-1.0,[-5.592696e-01 -3.886842e-04],0
1,[-5.592696e-01 -3.886842e-04],1,-1.0,[-5.5939126e-01 -1.2166322e-04],0
1,[-5.5939126e-01 -1.2166322e-04],1,-1.0,[-5.5924499e-01  1.4626498e-04],0
1,[-5.5924499e-01  1.4626498e-04],1,-1.0,[-5.5883193e-01  4.1310248e-04],0
1,[-5.5883193e-01  4.1310248e-04],1,-1.0,[-0.55815506  0.00067686],0
1,[-0.55815506  0.00067686],1,-1.0,[-0.5572195   0.00093557],0
1,[-0.5572195   0.00093557],1,-1.0,[-0.5560322  0.0011873],0
1,[-0.5560322  0.0011873],1,-1.0,[-0.554602    0.00143016],0
1,[-0.554602    0.00143016],1,-1.0,[-0.55293965  0.00166235],0
1,[-0.55293965  0.00166235],1,-1.0,[-0.5510576   0.00188212],0
1,[-0.5510576   0.00188212],1,-1.0,[-0.54896975  0.00208783],0
1,[-0.54896975  0.00208783],1,-1.0,[-0.5466918   0.00227793],0
1,[-0.5466918   0.00227793],1,-1.0,[-0.5442408   0.00245099],0
1,[-0.5442408   0.00245099],1,-1.0,[-0.5416351   0.00260571],0
1,[-0.5416351   0.00260571],1,-1.0,[-0.5388942   0.00274091],0
1,[-0.5388942   0.00274091],1,-1.0,[-0.5360386   0.00285559],0
1,[-0.5360386   0.00285559],1,-1.0,[-0.53308976  0.00294886],0
1,[-0.53308976  0.00294886],1,-1.0,[-0.5300697   0.00302004],0
1,[-0.5300697   0.00302004],1,-1.0,[-0.52700114  0.00306857],0
1,[-0.52700114  0.00306857],1,-1.0,[-0.52390707  0.00309408],0
1,[-0.52390707  0.00309408],1,-1.0,[-0.52081066  0.00309639],1
2,"(array([-0.55642533,  0.        ], dtype=float32), {})",1,-1.0,[-5.5617952e-01  2.4580144e-04],0
2,[-5.5617952e-01  2.4580144e-04],1,-1.0,[-5.5568975e-01  4.8976822e-04],0
2,[-5.5568975e-01  4.8976822e-04],1,-1.0,[-0.55495965  0.00073008],0
2,[-0.55495965  0.00073008],1,-1.0,[-0.5539948   0.00096494],0
2,[-0.5539948   0.00096494],1,-1.0,[-0.55280215  0.00119259],0
2,[-0.55280215  0.00119259],1,-1.0,[-0.5513908   0.00141134],0
2,[-0.5513908   0.00141134],1,-1.0,[-0.54977125  0.00161954],0
2,[-0.54977125  0.00161954],1,-1.0,[-0.54795563  0.00181563],0
2,[-0.54795563  0.00181563],1,-1.0,[-0.5459575   0.00199814],0
2,[-0.5459575   0.00199814],1,-1.0,[-0.5437918   0.00216571],0
2,[-0.5437918   0.00216571],1,-1.0,[-0.54147476  0.00231706],0
2,[-0.54147476  0.00231706],1,-1.0,[-0.53902364  0.00245107],0
2,[-0.53902364  0.00245107],1,-1.0,[-0.53645694  0.00256671],0
2,[-0.53645694  0.00256671],1,-1.0,[-0.5337938   0.00266313],0
2,[-0.5337938   0.00266313],1,-1.0,[-0.53105426  0.00273958],0
2,[-0.53105426  0.00273958],1,-1.0,[-0.52825874  0.00279549],0
2,[-0.52825874  0.00279549],1,-1.0,[-0.5254283   0.00283044],0
2,[-0.5254283   0.00283044],1,-1.0,[-0.52258414  0.00284416],0
2,[-0.52258414  0.00284416],1,-1.0,[-0.5197476   0.00283655],0
2,[-0.5197476   0.00283655],1,-1.0,[-0.51693994  0.00280767],0
2,[-0.51693994  0.00280767],1,-1.0,[-0.5141822   0.00275773],0
2,[-0.5141822   0.00275773],1,-1.0,[-0.5114951   0.00268711],0
2,[-0.5114951   0.00268711],1,-1.0,[-0.50889874  0.00259636],0
2,[-0.50889874  0.00259636],1,-1.0,[-0.5064126   0.00248614],0
2,[-0.5064126   0.00248614],1,-1.0,[-0.5040553  0.0023573],0
2,[-0.5040553  0.0023573],1,-1.0,[-0.5018445   0.00221081],0
2,[-0.5018445   0.00221081],1,-1.0,[-0.49979672  0.00204777],0
2,[-0.49979672  0.00204777],1,-1.0,[-0.4979273   0.00186941],0
2,[-0.4979273   0.00186941],1,-1.0,[-0.49625027  0.00167706],0
2,[-0.49625027  0.00167706],1,-1.0,[-0.4947781   0.00147218],0
2,[-0.4947781   0.00147218],1,-1.0,[-0.4935218   0.00125629],0
2,[-0.4935218   0.00125629],1,-1.0,[-0.49249077  0.00103102],0
2,[-0.49249077  0.00103102],1,-1.0,[-0.49169272  0.00079805],0
2,[-0.49169272  0.00079805],1,-1.0,[-0.4911336   0.00055912],0
2,[-0.4911336   0.00055912],1,-1.0,[-4.908176e-01  3.160130e-04],0
2,[-4.908176e-01  3.160130e-04],1,-1.0,[-4.9074706e-01  7.0550304e-05],0
2,[-4.9074706e-01  7.0550304e-05],1,-1.0,[-4.9092248e-01 -1.7543895e-04],0
2,[-4.9092248e-01 -1.7543895e-04],1,-1.0,[-4.9134260e-01 -4.2011877e-04],0
2,[-4.9134260e-01 -4.2011877e-04],1,-1.0,[-0.49200428 -0.00066166],0
2,[-0.49200428 -0.00066166],1,-1.0,[-0.49290255 -0.00089827],0
2,[-0.49290255 -0.00089827],1,-1.0,[-0.4940307  -0.00112816],0
2,[-0.4940307  -0.00112816],1,-1.0,[-0.49538034 -0.00134963],0
2,[-0.49538034 -0.00134963],1,-1.0,[-0.49694136 -0.00156102],0
2,[-0.49694136 -0.00156102],1,-1.0,[-0.49870208 -0.00176074],0
2,[-0.49870208 -0.00176074],1,-1.0,[-0.5006494  -0.00194729],0
2,[-0.5006494  -0.00194729],1,-1.0,[-0.50276864 -0.00211927],0
2,[-0.50276864 -0.00211927],1,-1.0,[-0.50504404 -0.0022754 ],0
2,[-0.50504404 -0.0022754 ],1,-1.0,[-0.5074585  -0.00241449],0
2,[-0.5074585  -0.00241449],1,-1.0,[-0.50999403 -0.00253549],0
2,[-0.50999403 -0.00253549],1,-1.0,[-0.51263154 -0.0026375 ],0
2,[-0.51263154 -0.0026375 ],1,-1.0,[-0.51535124 -0.00271974],0
2,[-0.51535124 -0.00271974],1,-1.0,[-0.51813287 -0.00278159],0
2,[-0.51813287 -0.00278159],1,-1.0,[-0.52095544 -0.00282258],0
2,[-0.52095544 -0.00282258],1,-1.0,[-0.5237978 -0.0028424],0
2,[-0.5237978 -0.0028424],1,-1.0,[-0.52663875 -0.00284091],0
2,[-0.52663875 -0.00284091],1,-1.0,[-0.52945685 -0.00281811],0
2,[-0.52945685 -0.00281811],1,-1.0,[-0.53223103 -0.00277418],0
2,[-0.53223103 -0.00277418],1,-1.0,[-0.5349405  -0.00270944],0
2,[-0.5349405  -0.00270944],1,-1.0,[-0.5375649 -0.0026244],0
2,[-0.5375649 -0.0026244],1,-1.0,[-0.54008454 -0.00251968],0
2,[-0.54008454 -0.00251968],1,-1.0,[-0.54248065 -0.00239609],0
2,[-0.54248065 -0.00239609],1,-1.0,[-0.5447352  -0.00225455],0
2,[-0.5447352  -0.00225455],1,-1.0,[-0.5468313  -0.00209613],0
2,[-0.5468313  -0.00209613],1,-1.0,[-0.5487534  -0.00192203],0
2,[-0.5487534  -0.00192203],1,-1.0,[-0.5504869  -0.00173355],0
2,[-0.5504869  -0.00173355],1,-1.0,[-0.552019   -0.00153211],0
2,[-0.552019   -0.00153211],1,-1.0,[-0.5533382  -0.00131922],0
2,[-0.5533382  -0.00131922],1,-1.0,[-0.5544347  -0.00109646],0
2,[-0.5544347  -0.00109646],1,-1.0,[-0.55530024 -0.00086553],0
2,[-0.55530024 -0.00086553],1,-1.0,[-0.55592835 -0.00062812],0
2,[-0.55592835 -0.00062812],1,-1.0,[-5.5631441e-01 -3.8603062e-04],0
2,[-5.5631441e-01 -3.8603062e-04],1,-1.0,[-5.5645543e-01 -1.4105730e-04],0
2,[-5.5645543e-01 -1.4105730e-04],1,-1.0,[-5.5635047e-01  1.0496881e-04],0
2,[-5.5635047e-01  1.0496881e-04],1,-1.0,[-5.5600023e-01  3.5021146e-04],0
2,[-5.5600023e-01  3.5021146e-04],1,-1.0,[-0.5554074   0.00059284],0
2,[-0.5554074   0.00059284],1,-1.0,[-0.5545764   0.00083104],0
2,[-0.5545764   0.00083104],1,-1.0,[-0.55351335  0.00106304],0
2,[-0.55351335  0.00106304],1,-1.0,[-0.55222625  0.0012871 ],0
2,[-0.55222625  0.0012871 ],1,-1.0,[-0.5507247   0.00150154],0
2,[-0.5507247   0.00150154],1,-1.0,[-0.54901993  0.00170476],0
2,[-0.54901993  0.00170476],1,-1.0,[-0.5471247   0.00189523],0
2,[-0.5471247   0.00189523],1,-1.0,[-0.5450532   0.00207153],0
2,[-0.5450532   0.00207153],1,-1.0,[-0.5428208   0.00223233],0
2,[-0.5428208   0.00223233],1,-1.0,[-0.54044443  0.00237642],0
2,[-0.54044443  0.00237642],1,-1.0,[-0.5379417  0.0025027],0
2,[-0.5379417  0.0025027],1,-1.0,[-0.5353315   0.00261024],0
2,[-0.5353315   0.00261024],1,-1.0,[-0.53263324  0.00269822],0
2,[-0.53263324  0.00269822],1,-1.0,[-0.5298673   0.00276597],0
2,[-0.5298673   0.00276597],1,-1.0,[-0.5270543   0.00281298],0
2,[-0.5270543   0.00281298],1,-1.0,[-0.5242154  0.0028389],0
2,[-0.5242154  0.0028389],1,-1.0,[-0.5213719   0.00284352],0
2,[-0.5213719   0.00284352],1,-1.0,[-0.5185451   0.00282682],0
2,[-0.5185451   0.00282682],1,-1.0,[-0.51575613  0.00278892],0
2,[-0.51575613  0.00278892],1,-1.0,[-0.51302606  0.0027301 ],0
2,[-0.51302606  0.0027301 ],1,-1.0,[-0.5103752   0.00265082],0
2,[-0.5103752   0.00265082],1,-1.0,[-0.5078235   0.00255167],0
2,[-0.5078235   0.00255167],1,-1.0,[-0.50539017  0.0024334 ],0
2,[-0.50539017  0.0024334 ],1,-1.0,[-0.50309324  0.0022969 ],0
2,[-0.50309324  0.0022969 ],1,-1.0,[-0.50095004  0.00214321],0
2,[-0.50095004  0.00214321],1,-1.0,[-0.49897656  0.00197348],0
2,[-0.49897656  0.00197348],1,-1.0,[-0.49718758  0.00178898],0
2,[-0.49718758  0.00178898],1,-1.0,[-0.49559647  0.0015911 ],0
2,[-0.49559647  0.0015911 ],1,-1.0,[-0.49421516  0.00138133],0
2,[-0.49421516  0.00138133],1,-1.0,[-0.4930539   0.00116124],0
2,[-0.4930539   0.00116124],1,-1.0,[-0.49212143  0.00093247],0
2,[-0.49212143  0.00093247],1,-1.0,[-0.4914247   0.00069674],0
2,[-0.4914247   0.00069674],1,-1.0,[-4.9096888e-01  4.5581124e-04],0
2,[-4.9096888e-01  4.5581124e-04],1,-1.0,[-4.9075741e-01  2.1147773e-04],0
2,[-4.9075741e-01  2.1147773e-04],1,-1.0,[-4.9079186e-01 -3.4434226e-05],0
2,[-4.9079186e-01 -3.4434226e-05],1,-1.0,[-4.9107194e-01 -2.8008918e-04],0
2,[-4.9107194e-01 -2.8008918e-04],1,-1.0,[-0.4915956  -0.00052365],0
2,[-0.4915956  -0.00052365],1,-1.0,[-0.4923589  -0.00076331],0
2,[-0.4923589  -0.00076331],1,-1.0,[-0.49335617 -0.00099727],0
2,[-0.49335617 -0.00099727],1,-1.0,[-0.49457994 -0.00122377],0
2,[-0.49457994 -0.00122377],1,-1.0,[-0.49602106 -0.00144114],0
2,[-0.49602106 -0.00144114],1,-1.0,[-0.4976688  -0.00164774],0
2,[-0.4976688  -0.00164774],1,-1.0,[-0.49951082 -0.00184202],0
2,[-0.49951082 -0.00184202],1,-1.0,[-0.5015333  -0.00202252],0
2,[-0.5015333  -0.00202252],1,-1.0,[-0.50372124 -0.00218789],0
2,[-0.50372124 -0.00218789],1,-1.0,[-0.5060581  -0.00233688],0
2,[-0.5060581  -0.00233688],1,-1.0,[-0.5085265  -0.00246838],0
2,[-0.5085265  -0.00246838],1,-1.0,[-0.51110786 -0.00258138],0
2,[-0.51110786 -0.00258138],1,-1.0,[-0.5137829  -0.00267504],0
2,[-0.5137829  -0.00267504],1,-1.0,[-0.5165315  -0.00274865],0
2,[-0.5165315  -0.00274865],1,-1.0,[-0.5193332  -0.00280165],0
2,[-0.5193332  -0.00280165],1,-1.0,[-0.52216685 -0.00283364],0
2,[-0.52216685 -0.00283364],1,-1.0,[-0.52501124 -0.00284438],0
2,[-0.52501124 -0.00284438],1,-1.0,[-0.527845   -0.00283378],0
2,[-0.527845   -0.00283378],1,-1.0,[-0.5306469  -0.00280194],0
2,[-0.5306469  -0.00280194],1,-1.0,[-0.533396   -0.00274908],0
2,[-0.533396   -0.00274908],1,-1.0,[-0.53607166 -0.00267561],0
2,[-0.53607166 -0.00267561],1,-1.0,[-0.53865373 -0.00258209],0
2,[-0.53865373 -0.00258209],1,-1.0,[-0.5411229  -0.00246921],0
2,[-0.5411229  -0.00246921],1,-1.0,[-0.5434608  -0.00233784],0
2,[-0.5434608  -0.00233784],1,-1.0,[-0.54564977 -0.00218897],0
2,[-0.54564977 -0.00218897],1,-1.0,[-0.54767346 -0.00202371],0
2,[-0.54767346 -0.00202371],1,-1.0,[-0.54951674 -0.0018433 ],0
